"gruselig","creepy","adjective","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"gewalttätig","violent","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"eindrucksvoll","impressive","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"stricken","to knit","verb","strickte; hat gestrickt","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"vorlesen","to read aloud","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"Filmreihe (f)","film series","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"im Gefahr","in danger","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"Kampfkunstfilme","martial arts films","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"Hitparade","charts (music)","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"Klingeltöne","ringtones","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"Karten","cards","noun","die Karten","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"schick","trendy","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"im Flohmarkt","at the market","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"Individualist","individual","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"Sitz (m)","seat","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"Titel (m)","title","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"Zettel (m)","piece of paper, note","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"Endspiel (n)","final","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"Lied (n)","song","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"Schach","chess","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"segeln","to sail","verb","segelte; ist gesegelt","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"mogeln","to cheat","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"beachten","to take into account, pay attention","verb","beachtete; hat beachtet","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"die Rechnung","bill","noun","die Rechnungen","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"die Mahnung","reminder","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"der Hinweis","tip","noun","die Hinweise","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"der Modezeichner","fashion designer","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"fehlen","to lack","verb","fehlte; hat gefehlt","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"die Sammlung(en)","collection","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"vorführen","to present, show","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"vorstellen","to introduce, present","verb","stellte vor; hat vorgestellt","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"das Mailand","Milan","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"musizieren","to make music","verb","musizierte; hat musiziert","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"der private Musikunterricht","private music tuition","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"der Musikstück","piece of music","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"die Vorstellung","performance, presentation","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"vortäuschen","to fein, fake","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"vorgetäuscht","phony, faked","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"abschreiben","to copy (out)","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"nähen","to sew","verb","nähte; hat genäht","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"erfrischen","to refresh","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"motivierend","motivating","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"motiviert","motivated","adjective","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"die Sahne","cream","noun","no plural","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"knusprig","crisp, crunchy","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"der Einreiseantrag","entry application/permit","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"verdächtig","suspicious(ly), unbelievably","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"der Verdacht","suspicion","noun","die Verdächte","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"klappen","to work out","verb","klappte; hat geklappt","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"das Schulzeugnis","school report","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"die Langlebigkeit","durability, longevity","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"beibringen","to teach","verb","brachte bei; hat beigebracht","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"die Tätowierung","tattooing","","","German_Vocabulary_Boosters::02_Media_and_Hobbies"
"locker","relaxing","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"tauchen","to dive","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"schmackhaft","tasty","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"Bierzelte","beer tents","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"Imbisstuben","snack bars","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"Luftballons","balloons","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"Jubiläum","anniversary","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"Taufe","babtism","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"die Überraschungsparty","surprise party","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"die Feier","party","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"Namenstag (m)","name day","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"Geschenk (n)","present","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"ablehnen","to refuse","verb","lehnte ab: hat abgelehnt","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"danken","to thank","verb","dankte; hat gedankt","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"gratulieren","to congratulate","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"Fröhliche Weihnachten!","Happy Christmas!","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"Pfingsten","Whit","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"prost!","cheers!","interjection","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"Zum Wohl!","Good health!","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"besinnlich","contemplative","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"ablegen","to take, sit, pass, make","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"der Mantel","coat","noun","die Mäntel","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"abhalten","to stop, prevent, keep out","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"sich vergnügen","to enjoy oneself","verb","vergnügte sich; hat sich vergnügt","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"sich unterhalten","to talk to, have a conversation","verb","unterhielt sich; hat sich unterhielt","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"das Riesenrad","big or Ferris wheel","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"anschließend","subsequently, afterwards","adverb, adjective","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"gemütlich","comfortable, friendly, informal","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"das Schlagobers","whipped cream","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"die Kuhkämpfe","cow fights","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"das Tier","animal","noun","die Tiere","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
"der Schönheitswettbewerb","beauty contest","","","German_Vocabulary_Boosters::03_Holidays_and_Celebrations"
