"die Frau","woman, wife","[sound:32111218124658_33343_e4dfe.mp3]","die Frauen","noun","feminine","1000_words_of_elementary_German::01_Level_1"
"der Mann","man, husband","[sound:48200120107094055_33344_db0db.mp3]","die Männer","noun","masculine","1000_words_of_elementary_German::01_Level_1"
"das Kind","child","[sound:48200120107094056_7789_62d8e.mp3][sound:32111218124658_7789_0b404.mp3]","die Kinder","noun","neuter","1000_words_of_elementary_German::01_Level_1"
"die Eltern","parents","","-","noun","plural","1000_words_of_elementary_German::01_Level_1"
"die Leute","people","","","noun","plural","1000_words_of_elementary_German::01_Level_1"
"die Erde","earth","[sound:48200120107094056_223341_7bd01.mp3]","die Erden","noun","feminine","1000_words_of_elementary_German::01_Level_1"
"das Land","country","","die Länder","noun","neuter","1000_words_of_elementary_German::01_Level_1"
"der Name","name","[sound:48200120107094056_13854_12eec.mp3]","die Namen","noun","masculine","1000_words_of_elementary_German::01_Level_1"
"schön","beautiful","","","adj; adv","","1000_words_of_elementary_German::01_Level_1"
"leben","to live","","","verb","","1000_words_of_elementary_German::01_Level_1"
"lernen","to learn","[sound:48200120107094056_13904_5451e.mp3][sound:32111218124659_13904_32488.mp3]","lernte; hat gelernt","verb","","1000_words_of_elementary_German::01_Level_1"
"die Schule","school","[sound:48200120107094056_13899_d3dc5.mp3][sound:32111218124659_13899_79478.mp3]","die Schulen","noun","feminine","1000_words_of_elementary_German::01_Level_1"
"möglich","possible","","","adj.","","1000_words_of_elementary_German::01_Level_1"
"die Möglichkeit","possibility","[sound:48200120107094057_711190_0b96d.mp3][sound:32111218124659_711190_0b1c3.mp3]","die Möglichkeiten","noun","feminine","1000_words_of_elementary_German::01_Level_1"
"können","can; to be able to","[sound:32120111060949_14811_697a5.mp3][sound:48200120107094057_14811_85014.mp3][sound:32111218124659_14811_6de28.mp3][sound:3197000111009025746.mp3]","konnte; hat gekonnt","verb","","1000_words_of_elementary_German::01_Level_1"
"lesen","to read","[sound:48200120107094057_13808_fa21e.mp3][sound:32111218124700_13808_d8d52.mp3]","las - hat gelesen","verb","","1000_words_of_elementary_German::01_Level_1"
