"das Alter","age","","","","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"die Anschrift","Address","","","","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"der Beruf","job","","","","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"die Familie","family","die Familien","noun","feminine","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"der Familienname","Surname","","","","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"der Freund","friend","","","","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"die Freundschaft","friendship","die Freundschaften","noun","f","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"der Gast","guest","die Gäste","n","m","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"die Gastfreundschaft","hospitality","","","","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"geboren","born","","","","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"der Geburtstag","birthday","","","","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"geschieden","separated","","","","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"das Jahr","year","die Jahre","noun","n","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"kennen","to know (people, places)","","","","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"kennen lernen","to get to know","lernte kennen; hat kennengelernt","v","","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"ledig","single","","adjective","","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"verheiratet","married","","adjective","","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"der Vorname","first name","","","","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"vorstellen","to introduce","stellte vor; hat vorgestellt","v","","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"willkommen","welcome","","adj","","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"wohnen","to live (somewhere)","","","","AQA_German_GCSE_Vocab_List::01_LIFESTYLE:_General"
"das Baby","baby","die Babys","n","n","AQA_German_GCSE_Vocab_List::02_People"
"der Bruder","brother","die Brüder","noun","masculine","AQA_German_GCSE_Vocab_List::02_People"
"der Cousin","Cousin (m)","","","","AQA_German_GCSE_Vocab_List::02_People"
"die Dame","lady","die Damen","n","f","AQA_German_GCSE_Vocab_List::02_People"
"das Einzelkind","only child","","","","AQA_German_GCSE_Vocab_List::02_People"
"die Eltern","parents","-","n","","AQA_German_GCSE_Vocab_List::02_People"
"der Erwachsene","adult","","noun","","AQA_German_GCSE_Vocab_List::02_People"
"die Frau","woman/wife/Mrs.","","","","AQA_German_GCSE_Vocab_List::02_People"
"das Fräulein","miss","die Fräulein","noun","neuter","AQA_German_GCSE_Vocab_List::02_People"
"die Geschwister","siblings","","noun","(neuter) but always used in the plural","AQA_German_GCSE_Vocab_List::02_People"
"die Großeltern","Grandparents","","","","AQA_German_GCSE_Vocab_List::02_People"
"die Großmutter","Grandmother","","","","AQA_German_GCSE_Vocab_List::02_People"
"der Großvater","Grandfather","","","","AQA_German_GCSE_Vocab_List::02_People"
"der Halbbruder","Halfbrother","","","","AQA_German_GCSE_Vocab_List::02_People"
"die Halbschwester","Halfsister","","","","AQA_German_GCSE_Vocab_List::02_People"
"der Herr","man/Mr.","","","","AQA_German_GCSE_Vocab_List::02_People"
"der Junge","boy","die Jungen/(ugs.) Jungs/(ugs.) Jungens","noun","masculine","AQA_German_GCSE_Vocab_List::02_People"
"das Kind","child","die Kinder","noun","n","AQA_German_GCSE_Vocab_List::02_People"
"die Cousine","Cousin (f)","","","","AQA_German_GCSE_Vocab_List::02_People"
"das Mädchen","girl","die Mädchen","noun","n","AQA_German_GCSE_Vocab_List::02_People"
"der Mann","man/husband","","","","AQA_German_GCSE_Vocab_List::02_People"
"die Mutter/Mutti","mother/mum","die Mütter","noun","feminine","AQA_German_GCSE_Vocab_List::02_People"
"die Oma","grandma","die Omas","n","f","AQA_German_GCSE_Vocab_List::02_People"
"der Onkel","uncle","die Onkel","n","m","AQA_German_GCSE_Vocab_List::02_People"
"der Opa","Grandad","","","","AQA_German_GCSE_Vocab_List::02_People"
"die Schwester","sister","die Schwestern","noun","feminine","AQA_German_GCSE_Vocab_List::02_People"
"Schwieger-","in-law-","","","","AQA_German_GCSE_Vocab_List::02_People"
"Stief-","step-","","","","AQA_German_GCSE_Vocab_List::02_People"
"der Sohn","son","","n","","AQA_German_GCSE_Vocab_List::02_People"
"die Tante","aunt","die Tanten","noun","feminine","AQA_German_GCSE_Vocab_List::02_People"
"die Tochter","daughter","","n","","AQA_German_GCSE_Vocab_List::02_People"
"der Vater/Vati","father/dad","die Väter","noun","masculine","AQA_German_GCSE_Vocab_List::02_People"
"der Verwandter","relative (m.)","","noun","","AQA_German_GCSE_Vocab_List::02_People"
"der Vetter","cousin","","","","AQA_German_GCSE_Vocab_List::02_People"
"der Zwilling","twin","","","","AQA_German_GCSE_Vocab_List::02_People"
"der Goldfisch","goldfish","die Goldfische","n","m","AQA_German_GCSE_Vocab_List::03_Pets"
"der Hamster","hamster","die Hamster","n","m","AQA_German_GCSE_Vocab_List::03_Pets"
